damageStats_blue,goldPerSecond_blue,jungleMinionsKilled_blue,level_blue,minionsKilled_blue,totalGold_blue,xp_blue,kill_blue,death_blue,assi_blue,tower_blue,tower_shield_blue,win_blue,damageStats_red,goldPerSecond_red,jungleMinionsKilled_red,level_red,minionsKilled_red,totalGold_red,xp_red,kill_red,death_red,assi_red,tower_red,tower_shield_red,win_red,dragon_blue,junr_blue,dragon_red,junr_red
16743,30,78,43,329,21811,25901,4.0,12.0,4.0,0.0,1.0,1.0,24225,30,72,46,315,26695,28688,12.0,4.0,16.0,1.0,6.0,0.0,0.0,,1.0,
33149,30,65,49,341,28896,32573,15.0,12.0,19.0,,4.0,1.0,28816,30,87,47,390,27249,29687,12.0,15.0,12.0,,7.0,0.0,0.0,0.0,2.0,1.0
27117,30,96,47,334,30370,29785,14.0,7.0,20.0,1.0,12.0,1.0,21794,30,71,44,355,25398,28176,7.0,14.0,9.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0
32082,30,80,47,341,29945,30356,18.0,15.0,19.0,1.0,9.0,0.0,29216,30,85,48,358,27704,31578,15.0,18.0,9.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0
29430,30,79,46,342,26822,28788,11.0,9.0,16.0,1.0,10.0,0.0,31076,30,88,48,406,30623,30751,9.0,11.0,8.0,2.0,11.0,1.0,0.0,1.0,1.0,0.0
32700,30,90,46,322,26934,29041,14.0,10.0,19.0,0.0,3.0,0.0,28785,30,70,46,341,28135,28970,10.0,14.0,16.0,1.0,6.0,1.0,1.0,0.0,1.0,1.0
26562,30,83,47,312,28252,30992,12.0,14.0,7.0,1.0,6.0,0.0,30335,30,89,45,353,29217,27939,14.0,12.0,28.0,1.0,9.0,1.0,2.0,1.0,0.0,0.0
27813,30,101,46,315,29017,29038,16.0,14.0,24.0,,9.0,0.0,30621,30,84,47,375,28582,30963,14.0,16.0,22.0,,5.0,1.0,0.0,1.0,1.0,0.0
36044,30,71,49,368,32304,32341,19.0,14.0,19.0,1.0,10.0,1.0,32263,30,52,46,302,26260,28044,14.0,19.0,11.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0
27207,30,92,44,324,28112,28811,13.0,13.0,17.0,,8.0,1.0,28489,30,92,47,343,27366,29807,13.0,13.0,19.0,,4.0,0.0,0.0,1.0,2.0,0.0
23687,30,95,45,326,27962,28081,15.0,8.0,14.0,1.0,7.0,0.0,24522,30,72,43,316,24187,26016,8.0,15.0,10.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0
27885,30,65,42,234,23748,24760,10.0,27.0,12.0,0.0,1.0,0.0,48943,30,98,51,358,37913,35228,27.0,10.0,25.0,4.0,15.0,1.0,0.0,0.0,1.0,1.0
38195,30,60,47,379,32914,30708,19.0,11.0,23.0,2.0,14.0,1.0,28042,30,68,44,258,26506,26443,11.0,19.0,15.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0
32102,30,60,44,285,26303,26174,14.0,24.0,13.0,0.0,7.0,0.0,46083,30,102,49,314,33736,33321,24.0,14.0,35.0,1.0,9.0,1.0,0.0,,2.0,
